productdepartment,order_date,productcategory,productname,orderquantity,profit,date,warehouseinventory,inventorycostperunit,month_of_supply
Apparel,2017-01,Cleats,Perfect Fitness Perfect Rip Deck,357.0,17493.0,2017-01,529,0.528,1.48
Apparel,2017-01,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,112.0,7280.0,2017-01,188,0.757,1.68
Apparel,2017-02,Cleats,Perfect Fitness Perfect Rip Deck,436.0,21021.0,2017-02,679,0.919,1.56
Apparel,2017-02,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,98.0,6370.0,2017-02,99,1.446,1.01
Apparel,2017-03,Cleats,Perfect Fitness Perfect Rip Deck,345.0,16611.0,2017-03,57,0.396,0.17
Apparel,2017-03,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,137.0,8905.0,2017-03,101,0.219,0.74
Apparel,2017-04,Cleats,Perfect Fitness Perfect Rip Deck,406.0,20580.0,2017-04,621,0.887,1.53
Apparel,2017-04,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,110.0,7150.0,2017-04,93,0.58,0.85
Apparel,2017-05,Cleats,Perfect Fitness Perfect Rip Deck,406.0,20433.0,2017-05,730,0.943,1.8
Apparel,2017-05,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,115.0,7475.0,2017-05,4,1.008,0.03
Apparel,2017-06,Cleats,Perfect Fitness Perfect Rip Deck,317.0,15729.0,2017-06,288,0.502,0.91
Apparel,2017-06,Crafts,Porcelain crafts,2.0,462.0,2017-06,1,0.216,0.5
Apparel,2017-06,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,133.0,8645.0,2017-06,70,1.424,0.53
Apparel,2017-07,Cleats,Perfect Fitness Perfect Rip Deck,339.0,16611.0,2017-07,37,2.059,0.11
Apparel,2017-07,Crafts,Porcelain crafts,5.0,1155.0,2017-07,0,1.128,0.0
Apparel,2017-07,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,126.0,8190.0,2017-07,194,1.327,1.54
Apparel,2017-08,Cleats,Perfect Fitness Perfect Rip Deck,396.0,19257.0,2017-08,158,0.569,0.4
Apparel,2017-08,Crafts,Porcelain crafts,3.0,693.0,2017-08,6,1.771,2.0
Apparel,2017-08,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,102.0,6630.0,2017-08,52,1.182,0.51
Apparel,2017-09,Baby,Baby sweater,1.0,28.0,2017-09,1,1.296,1.0
Apparel,2017-09,Children's Clothing,Children's heaters,1.0,169.0,2017-09,2,2.177,2.0
Apparel,2017-09,Cleats,Perfect Fitness Perfect Rip Deck,391.0,19404.0,2017-09,536,1.657,1.37
Apparel,2017-09,Cleats,Total Gym 1400,5.0,680.0,2017-09,1,0.192,0.2
Apparel,2017-09,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,127.0,8255.0,2017-09,106,1.024,0.83
Apparel,2017-10,Baby,Baby sweater,22.0,616.0,2017-10,27,1.527,1.23
Apparel,2017-10,Children's Clothing,Children's heaters,5.0,845.0,2017-10,3,2.283,0.6
Apparel,2017-10,Cleats,Perfect Fitness Perfect Rip Deck,12.0,1323.0,2017-10,2,2.283,0.17
Apparel,2017-10,Crafts,Porcelain crafts,43.0,9933.0,2017-10,39,1.993,0.91
Apparel,2017-10,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,1.0,65.0,2017-10,0,0.442,0.0
Apparel,2017-11,Baby,Baby sweater,10.0,280.0,2017-11,10,0.306,1.0
Apparel,2017-11,Children's Clothing,Children's heaters,3.0,507.0,2017-11,1,0.782,0.33
Apparel,2017-11,Cleats,Perfect Fitness Perfect Rip Deck,9.0,1323.0,2017-11,7,2.304,0.78
Apparel,2017-11,Crafts,Porcelain crafts,25.0,5775.0,2017-11,36,0.542,1.44
Apparel,2017-11,Men's Clothing,Men's gala suit,4.0,348.0,2017-11,5,1.207,1.25
Apparel,2017-11,Women's Clothing,Summer dresses,21.0,2079.0,2017-11,25,0.21,1.19
Apparel,2017-12,Cleats,Perfect Fitness Perfect Rip Deck,8.0,1176.0,2017-12,0,0.695,0.0
Apparel,2017-12,Men's Clothing,Men's gala suit,4.0,348.0,2017-12,3,1.575,0.75
Apparel,2017-12,Women's Clothing,Summer dresses,44.0,4356.0,2017-12,13,1.362,0.3
Book Shop,2015-08,Books,Sports Books,1.0,15.0,2015-08,0,1.997,0.0
Book Shop,2015-09,Books,Sports Books,1.0,15.0,2015-09,2,1.133,2.0
Book Shop,2017-09,Books,Sports Books,4.0,60.0,2017-09,0,0.994,0.0
Book Shop,2017-10,Books,Sports Books,32.0,480.0,2017-10,58,2.037,1.81
Book Shop,2017-11,Books,Sports Books,15.0,225.0,2017-11,26,1.47,1.73
Book Shop,2017-12,Books,Sports Books,3.0,45.0,2017-12,2,0.999,0.67
Discs Shop,2015-08,CDs,CDs of rock,2.0,12.0,2015-08,2,1.322,1.0
Discs Shop,2015-09,CDs,CDs of rock,4.0,24.0,2015-09,8,1.444,2.0
Discs Shop,2015-10,DVDs,DVDs,3.0,237.0,2015-10,2,0.361,0.67
Discs Shop,2015-11,Video Games,Fighting video games,2.0,38.0,2015-11,1,0.273,0.5
Discs Shop,2015-12,DVDs,DVDs,1.0,79.0,2015-12,2,2.015,2.0
Discs Shop,2015-12,Music,Rock music,1.0,110.0,2015-12,2,0.349,2.0
Discs Shop,2015-12,Video Games,Fighting video games,2.0,38.0,2015-12,3,0.898,1.5
Discs Shop,2016-01,DVDs,DVDs,3.0,237.0,2016-01,4,1.52,1.33
Discs Shop,2016-01,Video Games,Fighting video games,1.0,19.0,2016-01,1,0.15,1.0
Discs Shop,2016-02,DVDs,DVDs,2.0,158.0,2016-02,3,0.568,1.5
Discs Shop,2016-02,Music,Rock music,1.0,110.0,2016-02,2,0.27,2.0
Discs Shop,2016-03,Video Games,Fighting video games,3.0,57.0,2016-03,0,0.468,0.0
Discs Shop,2016-09,Video Games,Fighting video games,2.0,38.0,2016-09,0,0.104,0.0
Discs Shop,2016-12,Video Games,Fighting video games,4.0,76.0,2016-12,0,0.497,0.0
Discs Shop,2017-06,CDs,CDs of rock,1.0,6.0,2017-06,0,0.772,0.0
Discs Shop,2017-06,DVDs,DVDs,1.0,79.0,2017-06,2,1.551,2.0
Discs Shop,2017-08,CDs,CDs of rock,1.0,6.0,2017-08,1,1.43,1.0
Discs Shop,2017-08,DVDs,DVDs,1.0,79.0,2017-08,0,1.299,0.0
Discs Shop,2017-09,CDs,CDs of rock,3.0,18.0,2017-09,1,0.87,0.33
Discs Shop,2017-09,DVDs,DVDs,2.0,158.0,2017-09,2,2.222,1.0
Discs Shop,2017-10,CDs,CDs of rock,36.0,216.0,2017-10,34,2.223,0.94
Discs Shop,2017-10,DVDs,DVDs,22.0,1738.0,2017-10,41,0.17,1.86
Discs Shop,2017-11,CDs,CDs of rock,16.0,96.0,2017-11,3,0.854,0.19
Discs Shop,2017-11,DVDs,DVDs,55.0,4345.0,2017-11,33,0.791,0.6
Discs Shop,2017-11,Music,Rock music,3.0,330.0,2017-11,2,0.733,0.67
Discs Shop,2017-11,Video Games,Fighting video games,19.0,361.0,2017-11,18,0.156,0.95
Discs Shop,2017-12,DVDs,DVDs,32.0,2528.0,2017-12,64,2.036,2.0
Discs Shop,2017-12,Music,Rock music,9.0,990.0,2017-12,16,2.263,1.78
Discs Shop,2017-12,Video Games,Fighting video games,32.0,608.0,2017-12,4,1.878,0.12
Fan Shop,2015-01,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,74.0,11100.0,2015-01,82,0.712,1.11
Fan Shop,2015-01,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,94.0,18800.0,2015-01,141,0.985,1.5
Fan Shop,2015-01,Hunting & Shooting,ENO Atlas Hammock Straps,14.0,272.0,2015-01,20,0.2,1.43
Fan Shop,2015-01,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,400.0,15625.0,2015-01,442,2.342,1.1
Fan Shop,2015-01,Water Sports,Pelican Sunstream 100 Kayak,86.0,8600.0,2015-01,132,2.032,1.53
Fan Shop,2015-02,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,85.0,12750.0,2015-02,101,1.046,1.19
Fan Shop,2015-02,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,87.0,17400.0,2015-02,7,1.684,0.08
Fan Shop,2015-02,Hunting & Shooting,ENO Atlas Hammock Straps,3.0,68.0,2015-02,5,0.735,1.67
Fan Shop,2015-02,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,277.0,11000.0,2015-02,144,2.34,0.52
Fan Shop,2015-02,Water Sports,Pelican Sunstream 100 Kayak,81.0,8100.0,2015-02,32,0.13,0.4
Fan Shop,2015-03,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,71.0,10650.0,2015-03,97,0.773,1.37
Fan Shop,2015-03,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,85.0,17000.0,2015-03,153,1.429,1.8
Fan Shop,2015-03,Hunting & Shooting,ENO Atlas Hammock Straps,2.0,68.0,2015-03,2,0.376,1.0
Fan Shop,2015-03,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,355.0,15250.0,2015-03,589,1.65,1.66
Fan Shop,2015-03,Water Sports,Pelican Sunstream 100 Kayak,68.0,6800.0,2015-03,42,1.097,0.62
Fan Shop,2015-04,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,76.0,11400.0,2015-04,72,1.199,0.95
Fan Shop,2015-04,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,87.0,17400.0,2015-04,73,0.698,0.84
Fan Shop,2015-04,Hunting & Shooting,ENO Atlas Hammock Straps,1.0,68.0,2015-04,2,1.868,2.0
Fan Shop,2015-04,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,329.0,13000.0,2015-04,116,1.169,0.35
Fan Shop,2015-04,Water Sports,Pelican Sunstream 100 Kayak,84.0,8400.0,2015-04,100,0.626,1.19
Fan Shop,2015-05,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,54.0,8100.0,2015-05,59,0.731,1.09
Fan Shop,2015-05,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,87.0,17400.0,2015-05,68,2.167,0.78
Fan Shop,2015-05,Hunting & Shooting,ENO Atlas Hammock Straps,5.0,136.0,2015-05,10,0.435,2.0
Fan Shop,2015-05,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,218.0,9500.0,2015-05,399,1.973,1.83
Fan Shop,2015-05,Water Sports,Pelican Sunstream 100 Kayak,80.0,8000.0,2015-05,35,2.18,0.44
Fan Shop,2015-06,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,79.0,11850.0,2015-06,103,1.808,1.3
Fan Shop,2015-06,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,92.0,18400.0,2015-06,76,1.658,0.83
Fan Shop,2015-06,Hunting & Shooting,ENO Atlas Hammock Straps,4.0,204.0,2015-06,2,1.392,0.5
Fan Shop,2015-06,Hunting & Shooting,The North Face Women's Recon Backpack,5.0,176.0,2015-06,8,2.092,1.6
Fan Shop,2015-06,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,277.0,12625.0,2015-06,430,0.74,1.55
Fan Shop,2015-06,Water Sports,Pelican Sunstream 100 Kayak,67.0,6700.0,2015-06,12,1.422,0.18
Fan Shop,2015-07,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,75.0,11250.0,2015-07,125,0.483,1.67
Fan Shop,2015-07,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,78.0,15600.0,2015-07,46,1.714,0.59
Fan Shop,2015-07,Hunting & Shooting,ENO Atlas Hammock Straps,9.0,136.0,2015-07,5,1.879,0.56
Fan Shop,2015-07,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,284.0,12000.0,2015-07,22,1.993,0.08
Fan Shop,2015-07,Water Sports,Pelican Sunstream 100 Kayak,71.0,7100.0,2015-07,26,2.082,0.37
Fan Shop,2015-08,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,74.0,11100.0,2015-08,132,0.553,1.78
Fan Shop,2015-08,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,91.0,18200.0,2015-08,146,2.297,1.6
Fan Shop,2015-08,Hunting & Shooting,ENO Atlas Hammock Straps,13.0,204.0,2015-08,20,1.32,1.54
Fan Shop,2015-08,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,230.0,9500.0,2015-08,58,1.148,0.25
Fan Shop,2015-08,Water Sports,Pelican Sunstream 100 Kayak,95.0,9500.0,2015-08,105,1.924,1.11
Fan Shop,2015-09,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,79.0,11850.0,2015-09,39,2.082,0.49
Fan Shop,2015-09,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,77.0,15400.0,2015-09,130,1.167,1.69
Fan Shop,2015-09,Hunting & Shooting,ENO Atlas Hammock Straps,9.0,204.0,2015-09,17,0.574,1.89
Fan Shop,2015-09,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,349.0,14750.0,2015-09,414,1.383,1.19
Fan Shop,2015-09,Water Sports,Pelican Sunstream 100 Kayak,82.0,8200.0,2015-09,22,1.272,0.27
Fan Shop,2015-10,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,83.0,12450.0,2015-10,101,0.815,1.22
Fan Shop,2015-10,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,92.0,18400.0,2015-10,66,1.414,0.72
Fan Shop,2015-10,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,234.0,10875.0,2015-10,423,0.641,1.81
Fan Shop,2015-10,Water Sports,Pelican Sunstream 100 Kayak,80.0,8000.0,2015-10,138,0.945,1.72
Fan Shop,2015-11,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,66.0,9900.0,2015-11,101,1.194,1.53
Fan Shop,2015-11,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,80.0,16000.0,2015-11,106,0.674,1.32
Fan Shop,2015-11,Hunting & Shooting,ENO Atlas Hammock Straps,7.0,204.0,2015-11,6,2.086,0.86
Fan Shop,2015-11,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,329.0,14375.0,2015-11,64,1.199,0.19
Fan Shop,2015-11,Water Sports,Pelican Sunstream 100 Kayak,66.0,6600.0,2015-11,53,1.283,0.8
Fan Shop,2015-12,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,65.0,9750.0,2015-12,76,2.13,1.17
Fan Shop,2015-12,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,88.0,17600.0,2015-12,30,1.805,0.34
Fan Shop,2015-12,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,346.0,14875.0,2015-12,326,2.158,0.94
Fan Shop,2015-12,Water Sports,Pelican Sunstream 100 Kayak,97.0,9700.0,2015-12,55,0.719,0.57
Fan Shop,2016-01,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,87.0,13050.0,2016-01,62,1.235,0.71
Fan Shop,2016-01,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,90.0,18000.0,2016-01,91,1.805,1.01
Fan Shop,2016-01,Hunting & Shooting,ENO Atlas Hammock Straps,5.0,68.0,2016-01,3,1.162,0.6
Fan Shop,2016-01,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,332.0,13500.0,2016-01,56,0.966,0.17
Fan Shop,2016-01,Water Sports,Pelican Sunstream 100 Kayak,95.0,9500.0,2016-01,106,0.312,1.12
Fan Shop,2016-02,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,66.0,9900.0,2016-02,90,1.958,1.36
Fan Shop,2016-02,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,85.0,17000.0,2016-02,29,0.197,0.34
Fan Shop,2016-02,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,336.0,13375.0,2016-02,132,2.331,0.39
Fan Shop,2016-02,Water Sports,Pelican Sunstream 100 Kayak,68.0,6800.0,2016-02,22,2.336,0.32
Fan Shop,2016-03,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,71.0,10650.0,2016-03,31,0.301,0.44
Fan Shop,2016-03,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,86.0,17200.0,2016-03,32,1.047,0.37
Fan Shop,2016-03,Hunting & Shooting,ENO Atlas Hammock Straps,4.0,204.0,2016-03,7,1.779,1.75
Fan Shop,2016-03,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,298.0,12750.0,2016-03,83,0.629,0.28
Fan Shop,2016-03,Water Sports,Pelican Sunstream 100 Kayak,75.0,7500.0,2016-03,125,1.634,1.67
Fan Shop,2016-04,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,68.0,10200.0,2016-04,42,1.753,0.62
Fan Shop,2016-04,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,89.0,17800.0,2016-04,154,0.362,1.73
Fan Shop,2016-04,Hunting & Shooting,ENO Atlas Hammock Straps,4.0,68.0,2016-04,5,0.684,1.25
Fan Shop,2016-04,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,283.0,12750.0,2016-04,470,1.81,1.66
Fan Shop,2016-04,Water Sports,Pelican Sunstream 100 Kayak,75.0,7500.0,2016-04,9,0.536,0.12
Fan Shop,2016-05,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,83.0,12450.0,2016-05,39,0.812,0.47
Fan Shop,2016-05,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,80.0,16000.0,2016-05,32,2.298,0.4
Fan Shop,2016-05,Hunting & Shooting,ENO Atlas Hammock Straps,2.0,68.0,2016-05,2,1.274,1.0
Fan Shop,2016-05,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,375.0,14250.0,2016-05,136,1.463,0.36
Fan Shop,2016-05,Water Sports,Pelican Sunstream 100 Kayak,89.0,8900.0,2016-05,95,0.98,1.07
Fan Shop,2016-06,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,76.0,11400.0,2016-06,109,0.88,1.43
Fan Shop,2016-06,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,81.0,16200.0,2016-06,131,1.999,1.62
Fan Shop,2016-06,Hunting & Shooting,ENO Atlas Hammock Straps,9.0,204.0,2016-06,13,1.434,1.44
Fan Shop,2016-06,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,283.0,12875.0,2016-06,190,0.402,0.67
Fan Shop,2016-06,Water Sports,Pelican Sunstream 100 Kayak,68.0,6800.0,2016-06,55,2.263,0.81
Fan Shop,2016-07,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,68.0,10200.0,2016-07,123,1.812,1.81
Fan Shop,2016-07,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,107.0,21400.0,2016-07,16,1.895,0.15
Fan Shop,2016-07,Hunting & Shooting,ENO Atlas Hammock Straps,5.0,136.0,2016-07,1,2.086,0.2
Fan Shop,2016-07,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,383.0,16000.0,2016-07,24,0.461,0.06
Fan Shop,2016-07,Water Sports,Pelican Sunstream 100 Kayak,100.0,10000.0,2016-07,74,2.284,0.74
Fan Shop,2016-08,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,72.0,10800.0,2016-08,56,0.24,0.78
Fan Shop,2016-08,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,108.0,21600.0,2016-08,120,1.366,1.11
Fan Shop,2016-08,Hunting & Shooting,ENO Atlas Hammock Straps,4.0,68.0,2016-08,1,2.303,0.25
Fan Shop,2016-08,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,303.0,13750.0,2016-08,528,0.365,1.74
Fan Shop,2016-08,Water Sports,Pelican Sunstream 100 Kayak,89.0,8900.0,2016-08,78,2.257,0.88
Fan Shop,2016-09,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,71.0,10650.0,2016-09,42,1.183,0.59
Fan Shop,2016-09,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,86.0,17200.0,2016-09,131,1.862,1.52
Fan Shop,2016-09,Hunting & Shooting,ENO Atlas Hammock Straps,5.0,204.0,2016-09,0,0.53,0.0
Fan Shop,2016-09,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,262.0,11500.0,2016-09,339,0.542,1.29
Fan Shop,2016-09,Water Sports,Pelican Sunstream 100 Kayak,84.0,8400.0,2016-09,155,1.082,1.85
Fan Shop,2016-10,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,90.0,13500.0,2016-10,2,1.526,0.02
Fan Shop,2016-10,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,80.0,16000.0,2016-10,112,1.631,1.4
Fan Shop,2016-10,Hunting & Shooting,ENO Atlas Hammock Straps,5.0,68.0,2016-10,6,2.123,1.2
