on_time,buy_times,days,%_on_time,group_days
0.0,4,94.5,0 - 25 %,90 - 100 days
0.0,4,3.5,0 - 25 %,0 - 10 days
12.5,8,29.0,0 - 25 %,20 - 30 days
60.0,10,36.1,50 - 75 %,30 - 40 days
33.33333333333333,6,3.3333333333333335,25 - 50 %,0 - 10 days
0.0,4,2.0,0 - 25 %,0 - 10 days
20.0,5,150.0,0 - 25 %, 100 + days
0.0,1,333.0,0 - 25 %, 100 + days
33.33333333333333,6,4.0,25 - 50 %,0 - 10 days
0.0,2,6.5,0 - 25 %,0 - 10 days
0.0,4,6.0,0 - 25 %,0 - 10 days
25.0,4,97.25,0 - 25 %,90 - 100 days
0.0,2,2.0,0 - 25 %,0 - 10 days
0.0,2,3.5,0 - 25 %,0 - 10 days
20.0,5,56.8,0 - 25 %,50 - 60 days
0.0,5,2.6,0 - 25 %,0 - 10 days
60.0,10,2.3,50 - 75 %,0 - 10 days
75.0,4,2.75,50 - 75 %,0 - 10 days
33.33333333333333,6,3.6666666666666665,25 - 50 %,0 - 10 days
50.0,4,415.25,25 - 50 %, 100 + days
20.0,5,2.8,0 - 25 %,0 - 10 days
57.14285714285714,7,104.71428571428571,50 - 75 %, 100 + days
33.33333333333333,3,4.666666666666667,25 - 50 %,0 - 10 days
80.0,5,2.6,75 - 100 %,0 - 10 days
25.0,4,464.0,0 - 25 %, 100 + days
66.66666666666666,3,173.33333333333334,50 - 75 %, 100 + days
66.66666666666666,3,4.333333333333333,50 - 75 %,0 - 10 days
0.0,1,3.0,0 - 25 %,0 - 10 days
0.0,5,14.6,0 - 25 %,10 - 20 days
40.0,10,35.6,25 - 50 %,30 - 40 days
88.88888888888889,9,3.4444444444444446,75 - 100 %,0 - 10 days
0.0,2,2.0,0 - 25 %,0 - 10 days
0.0,3,4.0,0 - 25 %,0 - 10 days
83.33333333333334,6,44.333333333333336,75 - 100 %,40 - 50 days
33.33333333333333,3,2.6666666666666665,25 - 50 %,0 - 10 days
11.11111111111111,9,5.444444444444445,0 - 25 %,0 - 10 days
40.0,5,4.4,25 - 50 %,0 - 10 days
55.55555555555556,9,2.6666666666666665,50 - 75 %,0 - 10 days
50.0,4,2.75,25 - 50 %,0 - 10 days
88.88888888888889,9,3.6666666666666665,75 - 100 %,0 - 10 days
0.0,5,5.6,0 - 25 %,0 - 10 days
25.0,4,355.75,0 - 25 %, 100 + days
0.0,2,2.0,0 - 25 %,0 - 10 days
0.0,3,4.0,0 - 25 %,0 - 10 days
25.0,4,3.5,0 - 25 %,0 - 10 days
0.0,3,2.0,0 - 25 %,0 - 10 days
0.0,2,315.0,0 - 25 %, 100 + days
40.0,5,45.2,25 - 50 %,40 - 50 days
60.0,5,257.2,50 - 75 %, 100 + days
0.0,3,37.666666666666664,0 - 25 %,30 - 40 days
20.0,5,3.4,0 - 25 %,0 - 10 days
33.33333333333333,3,16.666666666666668,25 - 50 %,10 - 20 days
50.0,6,6.833333333333333,25 - 50 %,0 - 10 days
0.0,1,6.0,0 - 25 %,0 - 10 days
0.0,9,4.222222222222222,0 - 25 %,0 - 10 days
0.0,4,4.5,0 - 25 %,0 - 10 days
0.0,6,35.333333333333336,0 - 25 %,30 - 40 days
87.5,8,2.625,75 - 100 %,0 - 10 days
50.0,2,4.5,25 - 50 %,0 - 10 days
0.0,3,4.0,0 - 25 %,0 - 10 days
66.66666666666666,6,65.0,50 - 75 %,60 - 70 days
0.0,2,4.0,0 - 25 %,0 - 10 days
16.666666666666664,12,24.833333333333332,0 - 25 %,20 - 30 days
75.0,4,3.0,50 - 75 %,0 - 10 days
66.66666666666666,6,76.0,50 - 75 %,70 - 80 days
66.66666666666666,6,91.0,50 - 75 %,90 - 100 days
80.0,5,2.8,75 - 100 %,0 - 10 days
0.0,3,2.0,0 - 25 %,0 - 10 days
0.0,3,6.0,0 - 25 %,0 - 10 days
60.0,5,72.4,50 - 75 %,70 - 80 days
0.0,3,6.0,0 - 25 %,0 - 10 days
0.0,3,4.0,0 - 25 %,0 - 10 days
50.0,2,15.0,25 - 50 %,10 - 20 days
66.66666666666666,3,111.33333333333333,50 - 75 %, 100 + days
0.0,4,3.75,0 - 25 %,0 - 10 days
71.42857142857143,7,3.857142857142857,50 - 75 %,0 - 10 days
75.0,4,36.25,50 - 75 %,30 - 40 days
28.57142857142857,7,54.285714285714285,25 - 50 %,50 - 60 days
0.0,4,4.5,0 - 25 %,0 - 10 days
0.0,3,4.0,0 - 25 %,0 - 10 days
0.0,2,4.0,0 - 25 %,0 - 10 days
0.0,3,4.0,0 - 25 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
66.66666666666666,3,3.0,50 - 75 %,0 - 10 days
28.57142857142857,7,5.428571428571429,25 - 50 %,0 - 10 days
44.44444444444444,9,43.111111111111114,25 - 50 %,40 - 50 days
75.0,4,3.25,50 - 75 %,0 - 10 days
28.57142857142857,7,5.0,25 - 50 %,0 - 10 days
66.66666666666666,3,3.3333333333333335,50 - 75 %,0 - 10 days
0.0,2,4.0,0 - 25 %,0 - 10 days
80.0,5,2.8,75 - 100 %,0 - 10 days
40.0,5,2.8,25 - 50 %,0 - 10 days
0.0,3,4.333333333333333,0 - 25 %,0 - 10 days
60.0,5,5.0,50 - 75 %,0 - 10 days
0.0,4,6.0,0 - 25 %,0 - 10 days
0.0,1,6.0,0 - 25 %,0 - 10 days
33.33333333333333,3,31.666666666666668,25 - 50 %,30 - 40 days
20.0,5,5.2,0 - 25 %,0 - 10 days
54.54545454545454,11,3.090909090909091,50 - 75 %,0 - 10 days
0.0,2,6.0,0 - 25 %,0 - 10 days
66.66666666666666,3,3.6666666666666665,50 - 75 %,0 - 10 days
66.66666666666666,6,31.0,50 - 75 %,30 - 40 days
77.77777777777779,9,14.11111111111111,75 - 100 %,10 - 20 days
50.0,10,22.3,25 - 50 %,20 - 30 days
0.0,3,2.3333333333333335,0 - 25 %,0 - 10 days
33.33333333333333,3,3.6666666666666665,25 - 50 %,0 - 10 days
0.0,1,107.0,0 - 25 %, 100 + days
20.0,5,20.0,0 - 25 %,10 - 20 days
80.0,5,3.4,75 - 100 %,0 - 10 days
0.0,3,6.0,0 - 25 %,0 - 10 days
33.33333333333333,3,136.33333333333334,25 - 50 %, 100 + days
66.66666666666666,3,4.0,50 - 75 %,0 - 10 days
77.77777777777779,9,9.666666666666666,75 - 100 %,0 - 10 days
33.33333333333333,6,11.0,25 - 50 %,10 - 20 days
33.33333333333333,3,1.3333333333333333,25 - 50 %,0 - 10 days
80.0,5,2.8,75 - 100 %,0 - 10 days
75.0,4,220.75,50 - 75 %, 100 + days
0.0,2,4.5,0 - 25 %,0 - 10 days
75.0,4,51.0,50 - 75 %,50 - 60 days
0.0,7,61.285714285714285,0 - 25 %,60 - 70 days
66.66666666666666,6,2.5,50 - 75 %,0 - 10 days
71.42857142857143,7,2.0,50 - 75 %,0 - 10 days
25.0,8,2.375,0 - 25 %,0 - 10 days
42.857142857142854,7,25.142857142857142,25 - 50 %,20 - 30 days
66.66666666666666,9,3.4444444444444446,50 - 75 %,0 - 10 days
0.0,5,12.8,0 - 25 %,10 - 20 days
75.0,4,38.5,50 - 75 %,30 - 40 days
0.0,2,2.0,0 - 25 %,0 - 10 days
75.0,4,44.5,50 - 75 %,40 - 50 days
0.0,2,5.0,0 - 25 %,0 - 10 days
0.0,2,2.0,0 - 25 %,0 - 10 days
50.0,10,3.9,25 - 50 %,0 - 10 days
0.0,4,2.75,0 - 25 %,0 - 10 days
42.857142857142854,7,4.857142857142857,25 - 50 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
66.66666666666666,3,42.666666666666664,50 - 75 %,40 - 50 days
0.0,3,23.666666666666668,0 - 25 %,20 - 30 days
0.0,3,68.0,0 - 25 %,60 - 70 days
83.33333333333334,6,1.5,75 - 100 %,0 - 10 days
63.63636363636363,11,3.5454545454545454,50 - 75 %,0 - 10 days
70.0,10,25.7,50 - 75 %,20 - 30 days
50.0,2,5.0,25 - 50 %,0 - 10 days
0.0,1,2.0,0 - 25 %,0 - 10 days
0.0,5,5.6,0 - 25 %,0 - 10 days
83.33333333333334,6,2.5,75 - 100 %,0 - 10 days
0.0,1,6.0,0 - 25 %,0 - 10 days
25.0,4,40.75,0 - 25 %,40 - 50 days
50.0,6,49.666666666666664,25 - 50 %,40 - 50 days
0.0,3,6.0,0 - 25 %,0 - 10 days
60.0,5,144.0,50 - 75 %, 100 + days
0.0,1,187.0,0 - 25 %, 100 + days
40.0,5,106.6,25 - 50 %, 100 + days
0.0,4,9.25,0 - 25 %,0 - 10 days
0.0,2,5.5,0 - 25 %,0 - 10 days
50.0,2,3.0,25 - 50 %,0 - 10 days
20.0,5,12.0,0 - 25 %,10 - 20 days
50.0,4,67.75,25 - 50 %,60 - 70 days
75.0,4,4.0,50 - 75 %,0 - 10 days
66.66666666666666,6,2.0,50 - 75 %,0 - 10 days
0.0,1,5.0,0 - 25 %,0 - 10 days
0.0,2,2.0,0 - 25 %,0 - 10 days
0.0,4,2.0,0 - 25 %,0 - 10 days
20.0,5,3.6,0 - 25 %,0 - 10 days
33.33333333333333,3,1.6666666666666667,25 - 50 %,0 - 10 days
50.0,2,4.0,25 - 50 %,0 - 10 days
44.44444444444444,9,13.11111111111111,25 - 50 %,10 - 20 days
40.0,15,48.2,25 - 50 %,40 - 50 days
57.14285714285714,7,2.2857142857142856,50 - 75 %,0 - 10 days
83.33333333333334,6,2.6666666666666665,75 - 100 %,0 - 10 days
75.0,4,2.75,50 - 75 %,0 - 10 days
75.0,4,77.25,50 - 75 %,70 - 80 days
57.14285714285714,7,74.42857142857143,50 - 75 %,70 - 80 days
0.0,2,6.0,0 - 25 %,0 - 10 days
42.857142857142854,7,4.571428571428571,25 - 50 %,0 - 10 days
0.0,3,6.0,0 - 25 %,0 - 10 days
0.0,1,6.0,0 - 25 %,0 - 10 days
77.77777777777779,9,161.66666666666666,75 - 100 %, 100 + days
71.42857142857143,7,85.0,50 - 75 %,80 - 90 days
66.66666666666666,3,22.666666666666668,50 - 75 %,20 - 30 days
0.0,3,3.3333333333333335,0 - 25 %,0 - 10 days
80.0,5,3.4,75 - 100 %,0 - 10 days
75.0,8,51.125,50 - 75 %,50 - 60 days
0.0,5,9.8,0 - 25 %,0 - 10 days
0.0,5,4.0,0 - 25 %,0 - 10 days
75.0,4,4.25,50 - 75 %,0 - 10 days
80.0,5,3.2,75 - 100 %,0 - 10 days
20.0,5,9.6,0 - 25 %,0 - 10 days
25.0,4,54.5,0 - 25 %,50 - 60 days
33.33333333333333,6,8.666666666666666,25 - 50 %,0 - 10 days
60.0,5,45.4,50 - 75 %,40 - 50 days
30.0,10,40.6,25 - 50 %,40 - 50 days
85.71428571428571,7,3.7142857142857144,75 - 100 %,0 - 10 days
0.0,3,5.666666666666667,0 - 25 %,0 - 10 days
80.0,5,3.2,75 - 100 %,0 - 10 days
66.66666666666666,3,4.0,50 - 75 %,0 - 10 days
25.0,4,4.5,0 - 25 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
0.0,2,310.0,0 - 25 %, 100 + days
37.5,8,4.125,25 - 50 %,0 - 10 days
66.66666666666666,3,3.6666666666666665,50 - 75 %,0 - 10 days
75.0,4,4.5,50 - 75 %,0 - 10 days
50.0,8,3.125,25 - 50 %,0 - 10 days
85.71428571428571,7,2.2857142857142856,75 - 100 %,0 - 10 days
66.66666666666666,3,34.666666666666664,50 - 75 %,30 - 40 days
0.0,5,2.6,0 - 25 %,0 - 10 days
0.0,2,4.0,0 - 25 %,0 - 10 days
50.0,2,17.5,25 - 50 %,10 - 20 days
33.33333333333333,3,5.0,25 - 50 %,0 - 10 days
33.33333333333333,3,324.0,25 - 50 %, 100 + days
0.0,1,390.0,0 - 25 %, 100 + days
50.0,4,3.5,25 - 50 %,0 - 10 days
66.66666666666666,6,97.83333333333333,50 - 75 %,90 - 100 days
0.0,2,6.0,0 - 25 %,0 - 10 days
66.66666666666666,3,3.3333333333333335,50 - 75 %,0 - 10 days
0.0,3,2.0,0 - 25 %,0 - 10 days
80.0,5,4.4,75 - 100 %,0 - 10 days
0.0,2,3.0,0 - 25 %,0 - 10 days
60.0,5,22.0,50 - 75 %,20 - 30 days
0.0,2,19.5,0 - 25 %,10 - 20 days
0.0,4,18.0,0 - 25 %,10 - 20 days
0.0,2,325.5,0 - 25 %, 100 + days
66.66666666666666,3,12.333333333333334,50 - 75 %,10 - 20 days
33.33333333333333,3,4.666666666666667,25 - 50 %,0 - 10 days
83.33333333333334,6,107.16666666666667,75 - 100 %, 100 + days
0.0,5,38.2,0 - 25 %,30 - 40 days
0.0,1,2.0,0 - 25 %,0 - 10 days
50.0,6,3.1666666666666665,25 - 50 %,0 - 10 days
75.0,4,4.25,50 - 75 %,0 - 10 days
16.666666666666664,6,2.1666666666666665,0 - 25 %,0 - 10 days
0.0,1,2.0,0 - 25 %,0 - 10 days
60.0,5,3.4,50 - 75 %,0 - 10 days
16.666666666666664,6,2.6666666666666665,0 - 25 %,0 - 10 days
0.0,2,124.0,0 - 25 %, 100 + days
60.0,5,4.6,50 - 75 %,0 - 10 days
75.0,4,4.25,50 - 75 %,0 - 10 days
42.857142857142854,7,24.142857142857142,25 - 50 %,20 - 30 days
20.0,5,5.6,0 - 25 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
33.33333333333333,9,185.55555555555554,25 - 50 %, 100 + days
78.57142857142857,14,12.285714285714286,75 - 100 %,10 - 20 days
71.42857142857143,7,2.5714285714285716,50 - 75 %,0 - 10 days
66.66666666666666,3,2.0,50 - 75 %,0 - 10 days
60.0,10,14.6,50 - 75 %,10 - 20 days
0.0,4,2.0,0 - 25 %,0 - 10 days
66.66666666666666,3,3.3333333333333335,50 - 75 %,0 - 10 days
55.55555555555556,9,22.0,50 - 75 %,20 - 30 days
0.0,4,5.75,0 - 25 %,0 - 10 days
66.66666666666666,3,3.0,50 - 75 %,0 - 10 days
25.0,4,8.0,0 - 25 %,0 - 10 days
25.0,4,38.75,0 - 25 %,30 - 40 days
80.0,5,2.4,75 - 100 %,0 - 10 days
66.66666666666666,3,213.33333333333334,50 - 75 %, 100 + days
66.66666666666666,3,3.6666666666666665,50 - 75 %,0 - 10 days
60.0,5,178.0,50 - 75 %, 100 + days
81.25,16,2.8125,75 - 100 %,0 - 10 days
50.0,6,4.333333333333333,25 - 50 %,0 - 10 days
83.33333333333334,6,2.5,75 - 100 %,0 - 10 days
0.0,1,2.0,0 - 25 %,0 - 10 days
90.0,10,2.6,75 - 100 %,0 - 10 days
25.0,8,178.875,0 - 25 %, 100 + days
0.0,3,5.333333333333333,0 - 25 %,0 - 10 days
50.0,4,2.75,25 - 50 %,0 - 10 days
20.0,5,2.0,0 - 25 %,0 - 10 days
57.14285714285714,7,53.142857142857146,50 - 75 %,50 - 60 days
0.0,2,103.0,0 - 25 %, 100 + days
75.0,4,41.5,50 - 75 %,40 - 50 days
0.0,5,66.8,0 - 25 %,60 - 70 days
66.66666666666666,3,9.0,50 - 75 %,0 - 10 days
66.66666666666666,3,3.0,50 - 75 %,0 - 10 days
75.0,4,3.0,50 - 75 %,0 - 10 days
90.9090909090909,11,8.454545454545455,75 - 100 %,0 - 10 days
16.666666666666664,6,17.0,0 - 25 %,10 - 20 days
0.0,6,4.666666666666667,0 - 25 %,0 - 10 days
60.0,5,43.6,50 - 75 %,40 - 50 days
0.0,1,349.0,0 - 25 %, 100 + days
12.5,8,25.875,0 - 25 %,20 - 30 days
0.0,3,3.0,0 - 25 %,0 - 10 days
0.0,4,3.75,0 - 25 %,0 - 10 days
25.0,8,89.625,0 - 25 %,80 - 90 days
50.0,2,3.0,25 - 50 %,0 - 10 days
85.71428571428571,7,72.57142857142857,75 - 100 %,70 - 80 days
0.0,1,6.0,0 - 25 %,0 - 10 days
25.0,4,5.0,0 - 25 %,0 - 10 days
20.0,5,122.6,0 - 25 %, 100 + days
60.0,5,3.8,50 - 75 %,0 - 10 days
75.0,8,9.25,50 - 75 %,0 - 10 days
0.0,4,2.25,0 - 25 %,0 - 10 days
75.0,4,4.25,50 - 75 %,0 - 10 days
0.0,2,2.0,0 - 25 %,0 - 10 days
50.0,4,2.75,25 - 50 %,0 - 10 days
50.0,2,4.5,25 - 50 %,0 - 10 days
33.33333333333333,12,3.9166666666666665,25 - 50 %,0 - 10 days
62.5,8,34.125,50 - 75 %,30 - 40 days
33.33333333333333,6,13.0,25 - 50 %,10 - 20 days
80.0,5,2.6,75 - 100 %,0 - 10 days
0.0,5,6.0,0 - 25 %,0 - 10 days
80.0,5,3.4,75 - 100 %,0 - 10 days
83.33333333333334,6,3.3333333333333335,75 - 100 %,0 - 10 days
12.5,8,5.5,0 - 25 %,0 - 10 days
0.0,5,6.0,0 - 25 %,0 - 10 days
25.0,8,10.0,0 - 25 %,0 - 10 days
50.0,2,4.5,25 - 50 %,0 - 10 days
50.0,6,4.333333333333333,25 - 50 %,0 - 10 days
0.0,1,5.0,0 - 25 %,0 - 10 days
0.0,4,3.75,0 - 25 %,0 - 10 days
0.0,1,5.0,0 - 25 %,0 - 10 days
66.66666666666666,3,283.3333333333333,50 - 75 %, 100 + days
33.33333333333333,6,4.333333333333333,25 - 50 %,0 - 10 days
37.5,8,3.5,25 - 50 %,0 - 10 days
87.5,8,3.125,75 - 100 %,0 - 10 days
16.666666666666664,6,2.6666666666666665,0 - 25 %,0 - 10 days
66.66666666666666,3,3.3333333333333335,50 - 75 %,0 - 10 days
16.666666666666664,6,5.5,0 - 25 %,0 - 10 days
66.66666666666666,3,10.0,50 - 75 %,0 - 10 days
83.33333333333334,6,3.1666666666666665,75 - 100 %,0 - 10 days
66.66666666666666,3,2.0,50 - 75 %,0 - 10 days
66.66666666666666,3,70.66666666666667,50 - 75 %,70 - 80 days
0.0,3,2.0,0 - 25 %,0 - 10 days
83.33333333333334,6,4.333333333333333,75 - 100 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
50.0,4,2.75,25 - 50 %,0 - 10 days
0.0,3,6.0,0 - 25 %,0 - 10 days
66.66666666666666,3,4.333333333333333,50 - 75 %,0 - 10 days
0.0,4,6.0,0 - 25 %,0 - 10 days
62.5,8,125.5,50 - 75 %, 100 + days
55.55555555555556,9,10.666666666666666,50 - 75 %,10 - 20 days
33.33333333333333,3,54.0,25 - 50 %,50 - 60 days
50.0,8,3.375,25 - 50 %,0 - 10 days
0.0,1,6.0,0 - 25 %,0 - 10 days
66.66666666666666,3,3.6666666666666665,50 - 75 %,0 - 10 days
20.0,5,3.6,0 - 25 %,0 - 10 days
83.33333333333334,6,27.166666666666668,75 - 100 %,20 - 30 days
0.0,3,4.0,0 - 25 %,0 - 10 days
66.66666666666666,3,2.3333333333333335,50 - 75 %,0 - 10 days
75.0,4,30.0,50 - 75 %,20 - 30 days
0.0,1,6.0,0 - 25 %,0 - 10 days
66.66666666666666,9,4.111111111111111,50 - 75 %,0 - 10 days
60.0,5,7.6,50 - 75 %,0 - 10 days
0.0,2,4.0,0 - 25 %,0 - 10 days
0.0,3,21.333333333333332,0 - 25 %,20 - 30 days
0.0,4,6.0,0 - 25 %,0 - 10 days
62.5,8,94.625,50 - 75 %,90 - 100 days
80.0,5,3.6,75 - 100 %,0 - 10 days
0.0,1,6.0,0 - 25 %,0 - 10 days
40.0,5,5.2,25 - 50 %,0 - 10 days
0.0,3,2.0,0 - 25 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
0.0,3,6.0,0 - 25 %,0 - 10 days
0.0,3,263.3333333333333,0 - 25 %, 100 + days
25.0,4,102.5,0 - 25 %, 100 + days
75.0,4,3.25,50 - 75 %,0 - 10 days
50.0,2,1.0,25 - 50 %,0 - 10 days
40.0,5,4.8,25 - 50 %,0 - 10 days
66.66666666666666,3,3.3333333333333335,50 - 75 %,0 - 10 days
14.285714285714285,7,3.142857142857143,0 - 25 %,0 - 10 days
0.0,3,4.333333333333333,0 - 25 %,0 - 10 days
50.0,2,168.5,25 - 50 %, 100 + days
20.0,5,5.6,0 - 25 %,0 - 10 days
66.66666666666666,6,3.3333333333333335,50 - 75 %,0 - 10 days
80.0,5,11.6,75 - 100 %,10 - 20 days
44.44444444444444,9,6.777777777777778,25 - 50 %,0 - 10 days
88.88888888888889,9,3.888888888888889,75 - 100 %,0 - 10 days
71.42857142857143,7,83.28571428571429,50 - 75 %,80 - 90 days
80.0,5,8.4,75 - 100 %,0 - 10 days
33.33333333333333,3,2.3333333333333335,25 - 50 %,0 - 10 days
40.0,5,1.8,25 - 50 %,0 - 10 days
66.66666666666666,3,3.6666666666666665,50 - 75 %,0 - 10 days
50.0,2,15.0,25 - 50 %,10 - 20 days
33.33333333333333,3,5.333333333333333,25 - 50 %,0 - 10 days
66.66666666666666,3,63.333333333333336,50 - 75 %,60 - 70 days
75.0,4,4.0,50 - 75 %,0 - 10 days
0.0,2,3.0,0 - 25 %,0 - 10 days
40.0,5,2.4,25 - 50 %,0 - 10 days
0.0,1,2.0,0 - 25 %,0 - 10 days
0.0,5,2.2,0 - 25 %,0 - 10 days
0.0,1,2.0,0 - 25 %,0 - 10 days
25.0,4,5.5,0 - 25 %,0 - 10 days
57.14285714285714,7,2.142857142857143,50 - 75 %,0 - 10 days
77.77777777777779,9,3.4444444444444446,75 - 100 %,0 - 10 days
57.14285714285714,7,91.14285714285714,50 - 75 %,90 - 100 days
50.0,2,116.0,25 - 50 %, 100 + days
33.33333333333333,3,2.6666666666666665,25 - 50 %,0 - 10 days
0.0,5,238.2,0 - 25 %, 100 + days
50.0,4,4.5,25 - 50 %,0 - 10 days
80.0,5,2.4,75 - 100 %,0 - 10 days
50.0,2,5.0,25 - 50 %,0 - 10 days
80.0,5,68.8,75 - 100 %,60 - 70 days
25.0,4,3.5,0 - 25 %,0 - 10 days
80.0,5,4.2,75 - 100 %,0 - 10 days
83.33333333333334,6,3.1666666666666665,75 - 100 %,0 - 10 days
0.0,5,16.0,0 - 25 %,10 - 20 days
66.66666666666666,3,69.33333333333333,50 - 75 %,60 - 70 days
66.66666666666666,3,4.333333333333333,50 - 75 %,0 - 10 days
58.333333333333336,12,64.25,50 - 75 %,60 - 70 days
80.0,5,4.2,75 - 100 %,0 - 10 days
66.66666666666666,3,3.3333333333333335,50 - 75 %,0 - 10 days
87.5,8,6.75,75 - 100 %,0 - 10 days
75.0,4,13.75,50 - 75 %,10 - 20 days
0.0,1,4.0,0 - 25 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
66.66666666666666,3,277.3333333333333,50 - 75 %, 100 + days
20.0,5,428.6,0 - 25 %, 100 + days
0.0,4,206.25,0 - 25 %, 100 + days
66.66666666666666,6,3.8333333333333335,50 - 75 %,0 - 10 days
0.0,2,401.5,0 - 25 %, 100 + days
77.77777777777779,9,3.0,75 - 100 %,0 - 10 days
66.66666666666666,3,57.0,50 - 75 %,50 - 60 days
66.66666666666666,12,3.1666666666666665,50 - 75 %,0 - 10 days
0.0,3,2.0,0 - 25 %,0 - 10 days
0.0,5,2.0,0 - 25 %,0 - 10 days
50.0,2,4.0,25 - 50 %,0 - 10 days
37.5,8,22.0,25 - 50 %,20 - 30 days
0.0,2,2.0,0 - 25 %,0 - 10 days
25.0,4,5.25,0 - 25 %,0 - 10 days
0.0,1,90.0,0 - 25 %,80 - 90 days
33.33333333333333,6,5.0,25 - 50 %,0 - 10 days
50.0,4,4.25,25 - 50 %,0 - 10 days
62.5,8,70.75,50 - 75 %,70 - 80 days
33.33333333333333,3,50.333333333333336,25 - 50 %,50 - 60 days
0.0,1,6.0,0 - 25 %,0 - 10 days
0.0,3,3.0,0 - 25 %,0 - 10 days
0.0,2,231.5,0 - 25 %, 100 + days
66.66666666666666,3,3.3333333333333335,50 - 75 %,0 - 10 days
0.0,1,5.0,0 - 25 %,0 - 10 days
25.0,4,5.25,0 - 25 %,0 - 10 days
9.090909090909092,11,4.7272727272727275,0 - 25 %,0 - 10 days
0.0,1,2.0,0 - 25 %,0 - 10 days
54.54545454545454,11,3.909090909090909,50 - 75 %,0 - 10 days
33.33333333333333,3,37.333333333333336,25 - 50 %,30 - 40 days
30.0,10,6.2,25 - 50 %,0 - 10 days
42.857142857142854,7,3.142857142857143,25 - 50 %,0 - 10 days
66.66666666666666,3,124.33333333333333,50 - 75 %, 100 + days
28.57142857142857,7,5.285714285714286,25 - 50 %,0 - 10 days
66.66666666666666,3,265.6666666666667,50 - 75 %, 100 + days
80.0,5,55.8,75 - 100 %,50 - 60 days
66.66666666666666,3,3.6666666666666665,50 - 75 %,0 - 10 days
0.0,8,4.0,0 - 25 %,0 - 10 days
0.0,5,113.8,0 - 25 %, 100 + days
50.0,2,4.5,25 - 50 %,0 - 10 days
0.0,5,45.8,0 - 25 %,40 - 50 days
12.5,8,5.5,0 - 25 %,0 - 10 days
